Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Demand Difference,Stock Coverage,Stock-Out Risk,Reorder Recommendation
2022-01-01,S002,P0011,Groceries,West,67,13,33,7.44,34.62,-5.56,5.153846153846154,Low,No Action
2022-01-01,S002,P0012,Groceries,East,281,25,136,37.27,19.56,12.270000000000003,11.24,Low,No Action
2022-01-01,S002,P0013,Clothing,East,389,283,177,299.7,57.78,16.69999999999999,1.3745583038869258,Medium,Monitor
2022-01-01,S002,P0014,Electronics,East,465,359,77,370.36,91.28,11.360000000000014,1.2952646239554317,Medium,Monitor
2022-01-01,S002,P0015,Toys,South,197,129,94,148.55,59.9,19.55000000000001,1.5271317829457365,Medium,Monitor
2022-01-01,S002,P0016,Toys,South,242,63,85,58.07,45.65,-4.93,3.8412698412698414,Low,No Action
2022-01-01,S002,P0017,Groceries,West,398,373,92,390.89,11.71,17.889999999999986,1.0670241286863271,Medium,Monitor
2022-01-01,S002,P0018,Groceries,North,234,160,140,177.41,58.84,17.409999999999997,1.4625,Medium,Monitor
2022-01-01,S002,P0019,Toys,East,67,15,186,34.38,84.99,19.380000000000003,4.466666666666667,Low,No Action
2022-01-01,S002,P0020,Toys,West,221,101,38,115.0,87.1,14.0,2.1881188118811883,Low,No Action
2022-01-01,S003,P0001,Toys,South,241,147,180,161.09,67.21,14.090000000000003,1.6394557823129252,Medium,Monitor
2022-01-01,S003,P0002,Electronics,West,115,4,169,11.11,28.2,7.109999999999999,28.75,Low,No Action
2022-01-01,S003,P0003,Groceries,South,375,77,145,75.04,56.16,-1.9599999999999937,4.87012987012987,Low,No Action
2022-01-01,S003,P0004,Toys,South,153,31,145,42.99,89.53,11.990000000000002,4.935483870967742,Low,No Action
2022-01-01,S003,P0005,Clothing,West,438,325,20,330.92,97.95,5.920000000000016,1.3476923076923077,Medium,Monitor
2022-01-01,S003,P0006,Groceries,North,456,163,22,159.17,76.37,-3.8300000000000125,2.7975460122699385,Low,No Action
2022-01-01,S003,P0007,Electronics,North,189,34,107,26.91,86.99,-7.09,5.5588235294117645,Low,No Action
2022-01-01,S003,P0008,Toys,North,223,47,107,45.48,66.53,-1.5200000000000031,4.74468085106383,Low,No Action
2022-01-01,S003,P0009,Groceries,South,381,15,184,30.05,74.86,15.05,25.4,Low,No Action
2022-01-01,S003,P0010,Groceries,South,166,126,124,141.34,97.09,15.340000000000003,1.3174603174603174,Medium,Monitor
2022-01-01,S003,P0011,Toys,East,292,232,155,242.02,56.19,10.02000000000001,1.2586206896551724,Medium,Monitor
2022-01-01,S003,P0012,Electronics,North,311,175,55,176.75,90.38,1.75,1.7771428571428571,Low,No Action
2022-01-01,S003,P0013,Furniture,North,51,17,172,12.86,73.98,-4.140000000000001,3.0,Low,No Action
2022-01-01,S003,P0014,Electronics,South,398,369,26,387.88,79.03,18.879999999999995,1.0785907859078592,Medium,Monitor
2022-01-01,S003,P0015,Clothing,West,445,260,24,266.36,27.72,6.360000000000014,1.7115384615384615,Low,No Action
2022-01-01,S003,P0016,Groceries,South,487,347,93,349.36,98.18,2.3600000000000136,1.4034582132564841,Medium,Monitor
2022-01-01,S003,P0017,Clothing,East,429,150,168,157.82,27.1,7.819999999999993,2.86,Low,No Action
2022-01-01,S003,P0018,Toys,West,204,70,170,83.01,97.08,13.010000000000005,2.914285714285714,Low,No Action
2022-01-01,S003,P0019,Clothing,East,330,249,37,268.25,26.71,19.25,1.3253012048192772,Medium,Monitor
2022-01-01,S003,P0020,Electronics,North,431,370,99,387.57,95.85,17.569999999999993,1.164864864864865,Medium,Monitor
2022-01-01,S004,P0001,Toys,South,477,271,66,286.65,15.62,15.649999999999977,1.7601476014760147,Low,No Action
2022-01-01,S004,P0002,Clothing,North,462,180,183,176.06,41.13,-3.9399999999999977,2.566666666666667,Low,No Action
2022-01-01,S004,P0003,Clothing,West,446,344,27,352.93,89.32,8.930000000000007,1.2965116279069768,Medium,Monitor
2022-01-01,S004,P0004,Groceries,West,437,0,160,-2.4,87.23,-2.4,437.0,Low,No Action
2022-01-01,S004,P0005,Groceries,North,397,200,172,196.57,81.72,-3.430000000000007,1.985,Low,No Action
2022-01-01,S004,P0006,Electronics,East,470,382,195,396.4,41.35,14.399999999999977,1.2303664921465969,Medium,Monitor
2022-01-01,S004,P0007,Electronics,West,264,190,139,197.45,67.26,7.449999999999989,1.3894736842105264,Medium,Monitor
2022-01-01,S004,P0008,Furniture,South,250,51,137,54.98,85.88,3.979999999999997,4.901960784313726,Low,No Action
2022-01-01,S004,P0009,Furniture,North,63,40,73,51.78,59.23,11.780000000000001,1.575,Medium,Monitor
2022-01-01,S004,P0010,Groceries,East,447,104,96,115.03,33.48,11.030000000000001,4.298076923076923,Low,No Action
2022-01-01,S004,P0011,Electronics,West,205,46,27,46.65,54.84,0.6499999999999986,4.456521739130435,Low,No Action
2022-01-01,S004,P0012,Electronics,North,349,9,165,0.95,14.25,-8.05,38.77777777777778,Low,No Action
2022-01-01,S004,P0013,Furniture,East,191,56,65,54.47,61.81,-1.5300000000000011,3.4107142857142856,Low,No Action
2022-01-01,S004,P0014,Electronics,West,406,63,139,69.73,66.94,6.730000000000004,6.444444444444445,Low,No Action
2022-01-01,S004,P0015,Clothing,South,228,181,127,171.96,60.54,-9.039999999999992,1.2596685082872927,Medium,Monitor
2022-01-01,S004,P0016,Groceries,South,263,94,24,98.05,94.26,4.049999999999997,2.797872340425532,Low,No Action
2022-01-01,S004,P0017,Electronics,South,203,46,75,55.12,25.55,9.119999999999997,4.413043478260869,Low,No Action
2022-01-01,S004,P0018,Groceries,West,143,8,27,27.3,16.73,19.3,17.875,Low,No Action
2022-01-01,S004,P0019,Groceries,West,359,172,125,181.25,71.2,9.25,2.0872093023255816,Low,No Action
2022-01-01,S004,P0020,Clothing,West,211,68,37,86.27,11.5,18.269999999999996,3.1029411764705883,Low,No Action
2022-01-01,S005,P0001,Toys,West,111,77,60,83.47,70.33,6.469999999999999,1.4415584415584415,Medium,Monitor
2022-01-01,S005,P0002,Clothing,West,415,298,107,292.96,57.15,-5.0400000000000205,1.3926174496644295,Medium,Monitor
2022-01-01,S005,P0003,Electronics,North,384,64,26,76.02,36.17,12.019999999999996,6.0,Low,No Action
2022-01-01,S005,P0004,Furniture,West,436,300,174,292.04,50.77,-7.9599999999999795,1.4533333333333334,Medium,Monitor
2022-01-01,S005,P0005,Clothing,West,180,21,47,38.63,92.86,17.630000000000003,8.571428571428571,Low,No Action
2022-01-01,S005,P0006,Groceries,North,185,176,163,174.06,60.76,-1.9399999999999977,1.0511363636363635,Medium,Monitor
2022-01-01,S005,P0007,Clothing,South,292,131,140,122.6,46.47,-8.400000000000006,2.2290076335877864,Low,No Action
2022-01-01,S005,P0008,Toys,West,478,317,197,328.64,34.08,11.639999999999986,1.5078864353312302,Medium,Monitor
2022-01-01,S005,P0009,Groceries,West,182,97,27,92.62,87.81,-4.3799999999999955,1.8762886597938144,Low,No Action
2022-01-01,S005,P0010,Clothing,East,87,8,141,14.38,37.04,6.380000000000001,10.875,Low,No Action
2022-01-01,S005,P0011,Groceries,West,427,104,128,94.65,54.12,-9.349999999999994,4.105769230769231,Low,No Action
2022-01-01,S005,P0012,Electronics,West,245,87,188,90.59,67.64,3.5900000000000034,2.8160919540229883,Low,No Action
2022-01-01,S005,P0013,Furniture,South,317,238,95,256.57,82.18,18.569999999999993,1.3319327731092436,Medium,Monitor
2022-01-01,S005,P0014,Electronics,South,325,171,43,188.55,42.62,17.55000000000001,1.9005847953216375,Low,No Action
2022-01-01,S005,P0015,Furniture,West,411,250,119,260.79,11.54,10.79000000000002,1.644,Low,No Action
2022-01-01,S005,P0016,Clothing,South,71,11,32,1.85,16.3,-9.15,6.454545454545454,Low,No Action
2022-01-01,S005,P0017,Electronics,East,388,371,98,390.04,98.31,19.04000000000002,1.045822102425876,High,Reorder
2022-01-01,S005,P0018,Furniture,West,161,107,66,103.97,48.96,-3.030000000000001,1.5046728971962617,Low,No Action
2022-01-01,S005,P0019,Groceries,South,235,106,124,119.33,88.22,13.329999999999998,2.2169811320754715,Low,No Action
2022-01-01,S005,P0020,Electronics,South,108,101,52,105.92,11.04,4.920000000000002,1.0693069306930694,Medium,Monitor
2022-01-02,S001,P0001,Groceries,West,116,81,104,92.94,27.95,11.939999999999998,1.4320987654320987,Medium,Monitor
2022-01-02,S001,P0002,Clothing,West,416,163,79,171.6,19.78,8.599999999999994,2.5521472392638036,Low,No Action
2022-01-02,S001,P0003,Clothing,South,488,464,163,463.12,70.99,-0.8799999999999955,1.0517241379310345,Medium,Monitor
2022-01-02,S001,P0004,Groceries,East,248,116,107,133.92,49.56,17.919999999999987,2.1379310344827585,Low,No Action
2022-01-02,S001,P0005,Electronics,East,238,200,40,204.3,23.76,4.300000000000011,1.19,Medium,Monitor
2022-01-02,S001,P0006,Furniture,East,471,58,32,51.57,47.56,-6.43,8.120689655172415,Low,No Action
2022-01-02,S001,P0007,Electronics,North,178,56,149,60.3,17.1,4.299999999999997,3.1785714285714284,Low,No Action
2022-01-02,S001,P0008,Clothing,East,92,74,121,67.04,58.89,-6.959999999999994,1.2432432432432432,Medium,Monitor
2022-01-02,S001,P0009,Toys,South,99,54,182,70.6,99.76,16.599999999999994,1.8333333333333333,Medium,Monitor
2022-01-02,S001,P0010,Clothing,North,171,39,163,47.8,11.44,8.799999999999997,4.384615384615385,Low,No Action
2022-01-02,S001,P0011,Furniture,East,215,12,173,16.92,53.84,4.920000000000002,17.916666666666668,Low,No Action
2022-01-02,S001,P0012,Furniture,East,281,56,187,70.71,57.84,14.709999999999994,5.017857142857143,Low,No Action
2022-01-02,S001,P0013,Toys,North,455,31,124,44.46,35.51,13.46,14.67741935483871,Low,No Action
2022-01-02,S001,P0014,Electronics,West,84,25,20,23.36,31.41,-1.6400000000000006,3.36,Low,No Action
2022-01-02,S001,P0015,Electronics,East,246,198,67,203.23,28.06,5.22999999999999,1.2424242424242424,Medium,Monitor
2022-01-02,S001,P0016,Electronics,West,399,77,147,67.55,35.67,-9.450000000000003,5.181818181818182,Low,No Action
2022-01-02,S001,P0017,Furniture,West,242,165,105,181.86,28.18,16.860000000000014,1.4666666666666666,Medium,Monitor
2022-01-02,S001,P0018,Toys,North,478,42,168,55.16,74.42,13.159999999999997,11.380952380952381,Low,No Action
2022-01-02,S001,P0019,Furniture,South,156,8,67,24.41,91.95,16.41,19.5,Low,No Action
2022-01-02,S001,P0020,Electronics,North,221,174,168,187.49,97.88,13.490000000000009,1.2701149425287357,Medium,Monitor
2022-01-02,S002,P0001,Electronics,West,402,343,141,339.04,66.57,-3.9599999999999795,1.1720116618075802,Medium,Monitor
2022-01-02,S002,P0002,Furniture,West,132,71,60,82.44,90.36,11.439999999999998,1.8591549295774648,Low,No Action
2022-01-02,S002,P0003,Groceries,West,218,157,31,153.42,92.24,-3.5800000000000125,1.3885350318471337,Medium,Monitor
2022-01-02,S002,P0004,Groceries,South,131,88,109,100.61,68.71,12.61,1.4886363636363635,Medium,Monitor
2022-01-02,S002,P0005,Groceries,North,93,64,128,57.53,87.22,-6.469999999999999,1.453125,Low,No Action
2022-01-02,S002,P0006,Groceries,East,344,273,154,273.1,79.38,0.10000000000002274,1.26007326007326,Medium,Monitor
2022-01-02,S002,P0007,Groceries,North,340,247,148,264.18,17.41,17.180000000000007,1.3765182186234817,Medium,Monitor
2022-01-02,S002,P0008,Electronics,North,241,42,187,46.32,14.8,4.32,5.738095238095238,Low,No Action
2022-01-02,S002,P0009,Electronics,North,296,197,157,195.61,30.5,-1.3899999999999864,1.50253807106599,Low,No Action
2022-01-02,S002,P0010,Groceries,West,472,374,65,387.41,27.84,13.410000000000025,1.2620320855614973,Medium,Monitor
2022-01-02,S002,P0011,Furniture,East,308,154,22,169.13,88.62,15.129999999999995,2.0,Low,No Action
2022-01-02,S002,P0012,Toys,North,434,236,30,239.09,82.35,3.0900000000000034,1.8389830508474576,Low,No Action
2022-01-02,S002,P0013,Toys,North,287,278,92,279.91,92.57,1.910000000000025,1.0323741007194245,Medium,Monitor
2022-01-02,S002,P0014,Furniture,West,190,27,134,31.53,94.38,4.530000000000001,7.037037037037037,Low,No Action
2022-01-02,S002,P0015,Toys,North,353,106,191,110.49,70.59,4.489999999999995,3.330188679245283,Low,No Action
2022-01-02,S002,P0016,Toys,West,210,154,70,166.83,63.13,12.830000000000013,1.3636363636363635,Medium,Monitor
2022-01-02,S002,P0017,Clothing,West,193,176,38,174.49,46.04,-1.509999999999991,1.0965909090909092,Medium,Monitor
2022-01-02,S002,P0018,Groceries,East,124,124,46,116.05,21.07,-7.950000000000003,1.0,Medium,Monitor
2022-01-02,S002,P0019,Toys,East,492,479,132,469.74,79.11,-9.259999999999991,1.0271398747390397,Medium,Monitor
2022-01-02,S002,P0020,Clothing,South,222,78,42,76.55,64.99,-1.4500000000000028,2.8461538461538463,Low,No Action
2022-01-02,S003,P0001,Toys,West,277,114,40,132.41,73.48,18.409999999999997,2.4298245614035086,Low,No Action
2022-01-02,S003,P0002,Groceries,East,175,2,140,-3.4,87.5,-5.4,87.5,Low,No Action
2022-01-02,S003,P0003,Toys,East,157,7,187,22.8,88.68,15.8,22.428571428571427,Low,No Action
2022-01-02,S003,P0004,Furniture,West,120,54,154,49.64,82.36,-4.359999999999999,2.2222222222222223,Low,No Action
2022-01-02,S003,P0005,Furniture,East,375,282,61,297.42,38.56,15.420000000000016,1.3297872340425532,Medium,Monitor
2022-01-02,S003,P0006,Groceries,East,302,93,33,106.58,97.74,13.579999999999998,3.247311827956989,Low,No Action
2022-01-02,S003,P0007,Electronics,West,375,85,40,85.31,37.68,0.3100000000000023,4.411764705882353,Low,No Action
2022-01-02,S003,P0008,Clothing,South,248,136,50,130.52,36.03,-5.47999999999999,1.8235294117647058,Low,No Action
2022-01-02,S003,P0009,Electronics,West,219,140,196,139.46,88.97,-0.539999999999992,1.5642857142857143,Low,No Action
2022-01-02,S003,P0010,Furniture,West,146,79,155,94.23,16.48,15.230000000000004,1.8481012658227849,Low,No Action
2022-01-02,S003,P0011,Furniture,South,218,106,111,117.65,58.37,11.650000000000006,2.056603773584906,Low,No Action
2022-01-02,S003,P0012,Groceries,West,260,1,142,1.99,27.86,0.99,260.0,Low,No Action
2022-01-02,S003,P0013,Electronics,West,414,203,53,206.35,39.14,3.3499999999999943,2.039408866995074,Low,No Action
2022-01-02,S003,P0014,Toys,North,420,368,71,384.47,66.51,16.470000000000027,1.141304347826087,Medium,Monitor
2022-01-02,S003,P0015,Electronics,East,435,286,159,283.25,89.65,-2.75,1.520979020979021,Low,No Action
2022-01-02,S003,P0016,Clothing,South,230,69,173,70.77,86.7,1.769999999999996,3.3333333333333335,Low,No Action
2022-01-02,S003,P0017,Toys,South,456,52,78,65.67,29.69,13.670000000000002,8.76923076923077,Low,No Action
2022-01-02,S003,P0018,Toys,East,319,109,83,126.67,86.93,17.67,2.926605504587156,Low,No Action
2022-01-02,S003,P0019,Furniture,North,59,50,135,44.37,59.33,-5.630000000000003,1.18,Medium,Monitor
2022-01-02,S003,P0020,Electronics,East,155,0,92,9.42,57.07,9.42,155.0,Low,No Action
2022-01-02,S004,P0001,Electronics,North,144,22,45,39.12,74.16,17.119999999999997,6.545454545454546,Low,No Action
2022-01-02,S004,P0002,Electronics,East,283,45,156,46.65,59.38,1.6499999999999986,6.288888888888889,Low,No Action
2022-01-02,S004,P0003,Clothing,East,347,89,122,87.77,48.18,-1.230000000000004,3.898876404494382,Low,No Action
2022-01-02,S004,P0004,Groceries,East,410,209,128,224.66,94.75,15.659999999999997,1.9617224880382775,Low,No Action
2022-01-02,S004,P0005,Toys,West,99,4,76,14.91,60.89,10.91,24.75,Low,No Action
2022-01-02,S004,P0006,Toys,East,97,47,138,52.02,14.71,5.020000000000003,2.0638297872340425,Low,No Action
2022-01-02,S004,P0007,Furniture,West,339,115,95,124.22,33.09,9.219999999999999,2.9478260869565216,Low,No Action
2022-01-02,S004,P0008,Toys,South,144,27,119,21.73,98.75,-5.27,5.333333333333333,Low,No Action
2022-01-02,S004,P0009,Furniture,South,110,90,28,103.6,12.4,13.599999999999994,1.2222222222222223,Medium,Monitor
2022-01-02,S004,P0010,Groceries,South,348,206,67,214.99,92.01,8.990000000000009,1.6893203883495145,Low,No Action
2022-01-02,S004,P0011,Toys,East,458,328,144,339.54,92.12,11.54000000000002,1.396341463414634,Medium,Monitor
2022-01-02,S004,P0012,Groceries,South,403,155,24,145.99,37.39,-9.009999999999991,2.6,Low,No Action
2022-01-02,S004,P0013,Clothing,West,198,184,161,191.55,85.35,7.550000000000011,1.076086956521739,Medium,Monitor
2022-01-02,S004,P0014,Electronics,East,472,16,166,28.75,82.64,12.75,29.5,Low,No Action
2022-01-02,S004,P0015,Toys,North,178,90,79,98.56,92.19,8.560000000000002,1.9777777777777779,Low,No Action
2022-01-02,S004,P0016,Clothing,West,215,178,111,180.76,61.41,2.759999999999991,1.2078651685393258,Medium,Monitor
2022-01-02,S004,P0017,Electronics,South,477,256,150,254.89,96.47,-1.1100000000000136,1.86328125,Low,No Action
2022-01-02,S004,P0018,Furniture,South,198,27,62,25.51,89.33,-1.4899999999999984,7.333333333333333,Low,No Action
2022-01-02,S004,P0019,Groceries,North,110,67,83,79.41,59.49,12.409999999999997,1.6417910447761195,Medium,Monitor
2022-01-02,S004,P0020,Electronics,North,254,84,112,77.15,73.05,-6.849999999999994,3.0238095238095237,Low,No Action
2022-01-02,S005,P0001,Groceries,East,223,67,53,74.8,67.49,7.799999999999997,3.328358208955224,Low,No Action
2022-01-02,S005,P0002,Furniture,West,100,15,114,28.97,66.05,13.969999999999999,6.666666666666667,Low,No Action
2022-01-02,S005,P0003,Toys,West,397,333,35,336.02,80.88,3.019999999999982,1.1921921921921923,Medium,Monitor
2022-01-02,S005,P0004,Groceries,North,442,56,38,54.08,60.5,-1.9200000000000017,7.892857142857143,Low,No Action
2022-01-02,S005,P0005,Furniture,West,411,165,194,172.41,71.72,7.409999999999997,2.4909090909090907,Low,No Action
2022-01-02,S005,P0006,Clothing,North,76,54,175,49.32,69.21,-4.68,1.4074074074074074,Low,No Action
2022-01-02,S005,P0007,Clothing,East,257,93,148,84.69,70.69,-8.310000000000002,2.763440860215054,Low,No Action
2022-01-02,S005,P0008,Furniture,East,353,250,57,254.75,63.54,4.75,1.412,Medium,Monitor
2022-01-02,S005,P0009,Electronics,West,119,90,76,99.63,78.08,9.629999999999995,1.3222222222222222,Medium,Monitor
2022-01-02,S005,P0010,Furniture,West,403,83,77,84.32,43.09,1.3199999999999932,4.855421686746988,Low,No Action
2022-01-02,S005,P0011,Electronics,East,60,16,149,23.98,25.67,7.98,3.75,Low,No Action
2022-01-02,S005,P0012,Toys,West,182,87,121,83.13,38.59,-3.8700000000000045,2.0919540229885056,Low,No Action
2022-01-02,S005,P0013,Furniture,East,455,241,136,235.03,57.99,-5.969999999999999,1.887966804979253,Low,No Action
2022-01-02,S005,P0014,Toys,South,437,286,116,282.52,14.65,-3.480000000000018,1.527972027972028,Low,No Action
2022-01-02,S005,P0015,Clothing,West,289,60,83,52.77,63.26,-7.229999999999997,4.816666666666666,Low,No Action
2022-01-02,S005,P0016,Groceries,East,487,437,106,432.86,43.64,-4.139999999999986,1.1144164759725401,Medium,Monitor
2022-01-02,S005,P0017,Toys,North,418,377,76,383.26,84.85,6.259999999999991,1.1087533156498675,Medium,Monitor
2022-01-02,S005,P0018,Clothing,West,89,83,113,78.67,47.05,-4.329999999999998,1.072289156626506,Medium,Monitor
2022-01-02,S005,P0019,Clothing,West,421,203,152,220.23,76.83,17.22999999999999,2.0738916256157633,Low,No Action
2022-01-02,S005,P0020,Clothing,South,211,183,189,190.11,93.95,7.110000000000014,1.1530054644808743,Medium,Monitor
2022-01-03,S001,P0001,Electronics,West,154,5,189,5.36,62.7,0.3600000000000003,30.8,Low,No Action
2022-01-03,S001,P0002,Clothing,East,282,199,70,193.26,54.02,-5.740000000000009,1.4170854271356783,Medium,Monitor
2022-01-03,S001,P0003,Toys,South,183,176,124,168.28,26.03,-7.719999999999999,1.0397727272727273,Medium,Monitor
2022-01-03,S001,P0004,Electronics,East,239,214,51,228.51,10.19,14.509999999999991,1.1168224299065421,Medium,Monitor
2022-01-03,S001,P0005,Groceries,West,368,165,56,170.76,95.54,5.759999999999991,2.2303030303030305,Low,No Action
2022-01-03,S001,P0006,Furniture,South,57,9,40,13.6,57.65,4.6,6.333333333333333,Low,No Action
2022-01-03,S001,P0007,Clothing,South,460,140,70,143.7,87.85,3.6999999999999886,3.2857142857142856,Low,No Action
2022-01-03,S001,P0008,Groceries,West,214,177,150,178.0,53.94,1.0,1.2090395480225988,Medium,Monitor
2022-01-03,S001,P0009,Groceries,South,407,217,55,217.69,61.42,0.6899999999999977,1.8755760368663594,Low,No Action
2022-01-03,S001,P0010,Electronics,West,51,47,155,38.08,99.14,-8.920000000000002,1.0851063829787233,Medium,Monitor
2022-01-03,S001,P0011,Groceries,East,252,3,98,5.18,60.52,2.1799999999999997,84.0,Low,No Action
2022-01-03,S001,P0012,Clothing,East,72,2,62,9.81,86.93,7.8100000000000005,36.0,Low,No Action
2022-01-03,S001,P0013,Clothing,South,194,18,120,20.5,83.11,2.5,10.777777777777779,Low,No Action
2022-01-03,S001,P0014,Toys,South,302,242,145,255.54,32.28,13.539999999999992,1.2479338842975207,Medium,Monitor
2022-01-03,S001,P0015,Toys,North,330,228,157,246.91,52.17,18.909999999999997,1.4473684210526316,Medium,Monitor
2022-01-03,S001,P0016,Clothing,East,148,31,160,35.11,93.61,4.109999999999999,4.774193548387097,Low,No Action
2022-01-03,S001,P0017,Clothing,North,315,16,197,33.51,98.25,17.509999999999998,19.6875,Low,No Action
2022-01-03,S001,P0018,Furniture,East,97,20,147,37.26,78.53,17.259999999999998,4.85,Low,No Action
2022-01-03,S001,P0019,Furniture,South,240,193,171,203.45,56.91,10.449999999999989,1.2435233160621761,Medium,Monitor
2022-01-03,S001,P0020,Toys,North,178,118,162,110.02,35.32,-7.980000000000004,1.5084745762711864,Low,No Action
2022-01-03,S002,P0001,Toys,North,405,96,171,100.82,48.08,4.819999999999993,4.21875,Low,No Action
2022-01-03,S002,P0002,Electronics,North,200,48,47,55.45,46.95,7.450000000000003,4.166666666666667,Low,No Action
2022-01-03,S002,P0003,Furniture,West,327,130,166,127.03,94.45,-2.969999999999999,2.5153846153846153,Low,No Action
2022-01-03,S002,P0004,Groceries,North,409,11,48,8.25,27.28,-2.75,37.18181818181818,Low,No Action
2022-01-03,S002,P0005,Groceries,West,327,313,194,326.56,29.74,13.560000000000002,1.0447284345047922,Medium,Monitor
2022-01-03,S002,P0006,Furniture,North,388,352,199,365.82,27.64,13.819999999999993,1.1022727272727273,Medium,Monitor
2022-01-03,S002,P0007,Toys,South,483,265,108,277.23,60.54,12.230000000000018,1.8226415094339623,Low,No Action
2022-01-03,S002,P0008,Furniture,South,70,11,137,23.62,58.55,12.620000000000001,6.363636363636363,Low,No Action
2022-01-03,S002,P0009,Groceries,South,288,191,29,207.27,58.59,16.27000000000001,1.5078534031413613,Medium,Monitor
2022-01-03,S002,P0010,Electronics,West,270,185,150,192.21,95.48,7.210000000000008,1.4594594594594594,Medium,Monitor
2022-01-03,S002,P0011,Clothing,North,217,143,66,154.26,37.81,11.259999999999991,1.5174825174825175,Medium,Monitor
2022-01-03,S002,P0012,Electronics,West,221,85,84,104.48,48.7,19.480000000000004,2.6,Low,No Action
2022-01-03,S002,P0013,Groceries,West,303,270,164,268.73,65.89,-1.2699999999999818,1.1222222222222222,Medium,Monitor
2022-01-03,S002,P0014,Groceries,West,298,233,143,245.02,20.37,12.02000000000001,1.2789699570815452,Medium,Monitor
2022-01-03,S002,P0015,Furniture,West,193,187,57,177.8,46.25,-9.199999999999989,1.032085561497326,Medium,Monitor
2022-01-03,S002,P0016,Electronics,South,205,39,147,37.83,71.74,-1.1700000000000017,5.256410256410256,Low,No Action
2022-01-03,S002,P0017,Toys,West,427,234,195,231.16,20.57,-2.8400000000000034,1.8247863247863247,Low,No Action
